Pond1,Neighbour,Pond2,dist,Node1,Node2,Resistance
SWF-1621,5,SWF-1802,8.82206155035548,36,38,10.07815849
TIM-2,5,SWF-1314,2.62447005411574,21,24,43.15589505
NAT-1,1,SWF-1228,0.785355003187286,14,42,8.690437373
NAT-10,1,NAT-9,0.155086425701746,49,50,0.897457721
NAT-11,1,NAT-7,0.353258349169798,48,51,2.630974557
NAT-3,1,SWF-1501,14.9235858106847,33,44,35.65300305
NAT-6,1,NAT-2,0.580021916794106,43,47,1.685890629
SWF-1133,1,SWF-1127,4.26600715274199,1,2,44.70061206
SWF-1206,1,SWF-1205,0.908978793401508,5,6,18.6641612
SWF-1208,1,SWF-1207,0.219923011632818,7,8,11.75829158
SWF-1209,1,SWF-1207,0.773601759829491,7,9,13.80950543
SWF-1235,1,SWF-1234,0.256853604866342,15,16,4.980053656
SWF-1236,1,SWF-1227,0.328190360746645,13,17,8.500006214
SWF-1311,1,SWF-1310,0.230263438793239,20,22,23.67291303
SWF-1312,1,SWF-1310,1.63500857318266,20,23,45.94481169
SWF-1316,1,SWF-1208,1.12949394561708,8,25,4.246084804
SWF-1320,1,SWF-1314,0.692222574048867,24,26,28.90856321
SWF-1325,1,SWF-1320,0.924880455932254,26,27,29.3172534
SWF-1347,1,SWF-1320,1.42286424318328,26,28,22.37617527
SWF-1352,1,SWF-1306,1.0327717878699,19,29,13.47948158
SWF-1439,1,SWF-1428,2.65448469351612,30,31,34.19319709
SWF-1444,1,SWF-1428,0.899112850657417,30,32,48.29272335
SWF-1616,1,SWF-1610,2.09865673710303,34,35,37.01644221
SWF-1621,1,SWF-1610,1.63700528919245,34,36,26.0663385
SWF-1622,1,SWF-1616,3.83056480116687,35,37,46.82433569
SWF-1809,1,SWF-1808,0.0935113385355909,39,40,1.932489906
SWF-1914,1,SWF-1622,16.7434140180808,37,41,65.38942412
TIM-2,1,SWF-1310,0.178822896007576,20,21,34.20605714
NAT-1,2,SWF-1236,2.2004464885179,17,42,12.09151247
NAT-10,2,NAT-2,0.500031966341201,43,50,1.253814231
NAT-11,2,NAT-2,0.668534183218228,43,51,2.681508752
NAT-3,2,SWF-1312,23.9896346736559,23,44,28.52431328
NAT-9,2,NAT-2,0.354737819517349,43,49,1.652147914
SWF-1134,2,SWF-1127,4.80687914148703,1,3,21.34512675
SWF-1205,2,SWF-1204,2.82275954618787,4,5,23.14293182
SWF-1209,2,SWF-1208,0.911706671176189,8,9,2.756721614
SWF-1227,2,SWF-1215,1.05834724798413,10,13,20.19963749
SWF-1228,2,SWF-1215,1.46711347644134,10,14,22.89153057
SWF-1234,2,SWF-1215,1.19592023590952,10,15,20.13115948
SWF-1236,2,SWF-1215,0.731756199266221,10,17,17.05660258
SWF-1253,2,SWF-1208,1.32607319452892,8,18,19.50482261
SWF-1311,2,TIM-2,0.372731997329244,21,22,24.69266775
SWF-1312,2,TIM-2,1.70941224560402,21,23,44.97823599
SWF-1316,2,SWF-1253,1.18528325292374,18,25,20.24906165
SWF-1325,2,SWF-1314,1.03391221689725,24,27,35.0027126
SWF-1347,2,SWF-1325,1.47581043104981,27,28,26.11322806
SWF-1352,2,SWF-1325,1.89942980735079,27,29,30.42195012
SWF-1439,2,SWF-1134,2.76449016301694,3,31,15.30628647
SWF-1444,2,SWF-1439,3.28753877904869,31,32,31.88424173
SWF-1621,2,SWF-1616,3.48765794283684,35,36,21.8459858
SWF-1622,2,SWF-1610,5.71412435400961,34,37,55.41530367
SWF-1808,2,SWF-1802,4.03013307758476,38,39,8.037543961
SWF-1809,2,SWF-1802,3.96339595907394,38,40,7.519742154
SWF-1914,2,SWF-1616,19.5032270110097,35,41,50.82099228
NAT-1,3,SWF-1227,2.22383223957844,13,42,13.24746969
NAT-10,3,NAT-6,0.755589680898536,47,50,1.874947529
NAT-11,3,NAT-9,0.728849607047499,49,51,3.439546303
NAT-3,3,SWF-1444,24.7278337415082,32,44,32.92954946
NAT-9,3,NAT-6,0.710065296771026,47,49,2.33656209
SWF-1235,3,SWF-1215,1.31612650220447,10,16,20.31680321
SWF-1236,3,SWF-1235,1.20366613115859,16,17,13.15671749
SWF-1253,3,SWF-1209,1.37314551438917,9,18,20.39658013
SWF-1312,3,SWF-1311,1.75267702717468,22,23,28.68114289
SWF-1314,3,SWF-1312,1.89680891997603,23,24,42.73803055
SWF-1316,3,SWF-1207,1.3488768639391,7,25,15.41053711
SWF-1347,3,SWF-1316,1.63269489630558,25,28,13.45215716
SWF-1352,3,SWF-1347,2.47049529361818,28,29,22.52398113
SWF-1428,3,SWF-1134,5.24274323420482,3,30,40.43907087
SWF-1444,3,SWF-1134,5.98680032940858,3,32,37.70305364
SWF-1501,3,SWF-1444,14.6980625795836,32,33,61.71054684
SWF-1622,3,SWF-1621,6.61146389125289,36,37,38.38344868
SWF-1802,3,SWF-1621,8.82206155035548,36,38,10.07815849
SWF-1808,3,SWF-1621,12.6791852134926,36,39,11.81797806
SWF-1809,3,SWF-1621,12.6298350283774,36,40,11.31791864
SWF-1914,3,SWF-1621,19.7713376571613,36,41,38.89401432
NAT-1,4,SWF-1215,2.23718876328345,10,42,17.94012598
NAT-11,4,NAT-10,0.851155653897615,50,51,2.999289957
NAT-3,4,SWF-1314,24.7556109395761,24,44,26.44050829
NAT-7,4,NAT-2,0.874841819187622,43,48,1.558371423
SWF-1228,4,SWF-1227,1.66054072636726,13,14,18.74441169
SWF-1234,4,SWF-1227,1.41247392105005,13,15,15.16999553
SWF-1235,4,SWF-1227,1.32721244825384,13,16,15.15152055
SWF-1236,4,SWF-1234,1.23258589040988,15,17,13.1827317
SWF-1253,4,SWF-1207,1.44419173878852,7,18,30.58119476
SWF-1320,4,SWF-1311,2.21440439352474,22,26,19.93503949
SWF-1325,4,SWF-1306,1.74885859849066,19,27,23.93246242
SWF-1347,4,SWF-1306,1.64608587346406,19,28,15.01707492
SWF-1352,4,SWF-1320,2.79218249507167,26,29,28.44347212
SWF-1428,4,SWF-1127,7.55945549783061,1,30,42.36301762
SWF-1439,4,SWF-1127,6.37398141499846,1,31,18.84327594
SWF-1444,4,SWF-1352,7.77406780605085,29,32,41.82254353
SWF-1610,4,SWF-1127,6.9585595177924,1,34,35.21912893
SWF-1616,4,SWF-1133,6.45629912327174,2,35,52.81283085
SWF-1621,4,SWF-1127,8.09561548320253,1,36,18.00925786
SWF-1622,4,SWF-1133,8.40460893731356,2,37,68.41546798
SWF-1802,4,SWF-1610,10.0902647820458,34,38,27.99208638
SWF-1808,4,SWF-1610,13.8124312921841,34,39,29.68155649
SWF-1809,4,SWF-1610,13.7703518346932,34,40,29.18208135
SWF-1914,4,SWF-1610,20.2415355770709,34,41,56.69660162
NAT-1,5,SWF-1204,2.94479204601312,4,42,11.78162376
NAT-10,5,NAT-7,0.852566625360517,48,50,1.689913289
NAT-11,5,NAT-6,1.24852416170935,47,51,3.55391723
NAT-3,5,SWF-1325,25.2791626046864,27,44,25.08660954
NAT-7,5,NAT-6,1.43197419432362,47,48,2.334735276
NAT-9,5,NAT-7,0.782883684523493,48,49,2.157744231
SWF-1134,5,SWF-1133,6.9619840913781,2,3,47.56311454
SWF-1207,5,SWF-1206,2.12358195506762,6,7,24.04920117
SWF-1208,5,SWF-1206,2.10636383027374,6,8,13.30455849
SWF-1209,5,SWF-1206,2.84203190020465,6,9,14.23266651
SWF-1228,5,SWF-1204,2.29068297345588,4,14,17.19739352
SWF-1234,5,SWF-1204,2.56584606111792,4,15,15.86638562
SWF-1235,5,SWF-1228,2.67170947347447,14,16,17.16887111
SWF-1236,5,SWF-1228,1.55235711244658,14,17,17.45693017
SWF-1314,5,SWF-1311,2.3720536417033,22,24,25.86947165
SWF-1316,5,SWF-1209,1.85312822829537,9,25,5.621935538
SWF-1320,5,SWF-1312,2.28101462113581,23,26,37.96729015
SWF-1347,5,SWF-1314,2.06203257651906,24,28,29.68149354
SWF-1352,5,SWF-1314,2.88204831510364,24,29,33.75176161
SWF-1428,5,SWF-1352,8.05892339800344,29,30,44.97552009
SWF-1439,5,SWF-1352,7.10208223363801,29,31,21.13845207
SWF-1444,5,SWF-1127,8.45794034332805,1,32,39.56090944
SWF-1501,5,SWF-1428,15.3262597244769,30,33,65.1444563
SWF-1610,5,SWF-1133,7.30678037785448,2,34,59.84063525
SWF-1616,5,SWF-1127,7.372715659806,1,35,28.96774081
SWF-1622,5,SWF-1127,10.6534936831515,1,37,45.19737608
SWF-1802,5,SWF-1616,12.1789268718768,35,38,22.7820844
SWF-1808,5,SWF-1501,13.9394935156197,33,39,38.62793015
SWF-1809,5,SWF-1501,14.0326438881444,33,40,38.15054211
SWF-1914,5,SWF-1133,25.1472774861119,2,41,69.6951597
SWF-1215,6,SWF-1204,1.824412,4,10,22.87815607
