Point1,Point2,X1,Y1,X2,Y2
SWF-1204,SWF-1211,351251.890265503,5022682.43999134,350438.541026871,5021577.40163885
SWF-1228,SWF-1211,349066.788361716,5022696.74379202,350438.541026871,5021577.40163885
SWF-1215,SWF-1213,349705.553992055,5023902.60364929,350782.586343212,5025350.65111807
SWF-1234,SWF-1213,350185.486214851,5025046.26560361,350782.586343212,5025350.65111807
SWF-1235,SWF-1213,350039.691707927,5025166.35370932,350782.586343212,5025350.65111807
SWF-1236,SWF-1213,349286.87787217,5024160.80056156,350782.586343212,5025350.65111807
SWF-1215,SWF-1215,349705.553992055,5023902.60364929,349705.553992055,5023902.60364929
SWF-1227,SWF-1215,348925.700655014,5024380.53027199,349705.553992055,5023902.60364929
SWF-1228,SWF-1215,349066.788361716,5022696.74379202,349705.553992055,5023902.60364929
SWF-1234,SWF-1215,350185.486214851,5025046.26560361,349705.553992055,5023902.60364929
SWF-1235,SWF-1215,350039.691707927,5025166.35370932,349705.553992055,5023902.60364929
SWF-1236,SWF-1215,349286.87787217,5024160.80056156,349705.553992055,5023902.60364929
SWF-1215,SWF-1216,349705.553992055,5023902.60364929,349705.553992055,5023902.60364929
SWF-1227,SWF-1216,348925.700655014,5024380.53027199,349705.553992055,5023902.60364929
SWF-1228,SWF-1216,349066.788361716,5022696.74379202,349705.553992055,5023902.60364929
SWF-1234,SWF-1216,350185.486214851,5025046.26560361,349705.553992055,5023902.60364929
SWF-1235,SWF-1216,350039.691707927,5025166.35370932,349705.553992055,5023902.60364929
SWF-1236,SWF-1216,349286.87787217,5024160.80056156,349705.553992055,5023902.60364929
SWF-1220,SWF-1220,332384.92576937,5030790.98197647,332384.92576937,5030790.98197647
SWF-1221,SWF-1221,341406.731597883,5023127.75891249,341406.731597883,5023127.75891249
SWF-1127,SWF-1123,365215.388828733,5021495.89233498,363558.090950016,5021255.75762358
SWF-1127,SWF-1127,365215.388828733,5021495.89233498,365215.388828733,5021495.89233498
SWF-1207,SWF-1253,349758.002494547,5019065.37041954,349221.790069078,5017815.78826019
SWF-1208,SWF-1253,349953.910503852,5018864.50641,349221.790069078,5017815.78826019
SWF-1209,SWF-1253,349211.369268583,5019187.08442532,349221.790069078,5017815.78826019
SWF-1253,SWF-1253,349221.790069078,5017815.78826019,349221.790069078,5017815.78826019
SWF-1316,SWF-1253,350370.871223657,5017808.40845983,349221.790069078,5017815.78826019
SWF-1207,SWF-1261,349758.002494547,5019065.37041954,350105.158311036,5018222.13297949
SWF-1208,SWF-1261,349953.910503852,5018864.50641,350105.158311036,5018222.13297949
SWF-1209,SWF-1261,349211.369268583,5019187.08442532,350105.158311036,5018222.13297949
SWF-1253,SWF-1261,349221.790069078,5017815.78826019,350105.158311036,5018222.13297949
SWF-1316,SWF-1261,350370.871223657,5017808.40845983,350105.158311036,5018222.13297949
SWF-1306,SWF-1306,352812.866039645,5016413.9862936,352812.866039645,5016413.9862936
SWF-1325,SWF-1306,351779.64759057,5015044.85782857,352812.866039645,5016413.9862936
SWF-1347,SWF-1306,351239.058964893,5016427.79519426,352812.866039645,5016413.9862936
SWF-1352,SWF-1306,353632.026778553,5015481.1864493,352812.866039645,5016413.9862936
SWF-1306,SWF-1307,352812.866039645,5016413.9862936,352192.659110187,5016788.27021138
SWF-1325,SWF-1307,351779.64759057,5015044.85782857,352192.659110187,5016788.27021138
SWF-1347,SWF-1307,351239.058964893,5016427.79519426,352192.659110187,5016788.27021138
SWF-1352,SWF-1307,353632.026778553,5015481.1864493,352192.659110187,5016788.27021138
SWF-1306,SWF-1308,352812.866039645,5016413.9862936,351638.917783885,5017624.30565109
SWF-1316,SWF-1308,350370.871223657,5017808.40845983,351638.917783885,5017624.30565109
SWF-1347,SWF-1308,351239.058964893,5016427.79519426,351638.917783885,5017624.30565109
SWF-1306,SWF-1309,352812.866039645,5016413.9862936,351491.085076864,5017356.49433837
SWF-1316,SWF-1309,350370.871223657,5017808.40845983,351491.085076864,5017356.49433837
SWF-1347,SWF-1309,351239.058964893,5016427.79519426,351491.085076864,5017356.49433837
SWF-1310,SWF-1311,348435.742331743,5014655.29181007,348591.415239137,5014838.62241878
TIM-2,SWF-1311,,,348591.415239137,5014838.62241878
SWF-1311,SWF-1311,348591.415239137,5014838.62241878,348591.415239137,5014838.62241878
SWF-1312,SWF-1311,349409.529477995,5013212.92964156,348591.415239137,5014838.62241878
SWF-1310,SWF-1312,348435.742331743,5014655.29181007,349409.529477995,5013212.92964156
TIM-2,SWF-1312,,,349409.529477995,5013212.92964156
SWF-1311,SWF-1312,348591.415239137,5014838.62241878,349409.529477995,5013212.92964156
SWF-1312,SWF-1312,349409.529477995,5013212.92964156,349409.529477995,5013212.92964156
SWF-1314,SWF-1312,350897.473348669,5014427.14439923,349409.529477995,5013212.92964156
SWF-1312,SWF-1314,349409.529477995,5013212.92964156,350897.473348669,5014427.14439923
SWF-1314,SWF-1314,350897.473348669,5014427.14439923,350897.473348669,5014427.14439923
SWF-1320,SWF-1314,350743.942441377,5015037.25262821,350897.473348669,5014427.14439923
SWF-1325,SWF-1314,351779.64759057,5015044.85782857,350897.473348669,5014427.14439923
SWF-1306,SWF-1315,352812.866039645,5016413.9862936,351073.608757035,5016095.40877847
SWF-1314,SWF-1315,350897.473348669,5014427.14439923,351073.608757035,5016095.40877847
SWF-1316,SWF-1315,350370.871223657,5017808.40845983,351073.608757035,5016095.40877847
SWF-1320,SWF-1315,350743.942441377,5015037.25262821,351073.608757035,5016095.40877847
SWF-1325,SWF-1315,351779.64759057,5015044.85782857,351073.608757035,5016095.40877847
SWF-1347,SWF-1315,351239.058964893,5016427.79519426,351073.608757035,5016095.40877847
SWF-1207,SWF-1316,349758.002494547,5019065.37041954,350370.871223657,5017808.40845983
SWF-1208,SWF-1316,349953.910503852,5018864.50641,350370.871223657,5017808.40845983
SWF-1209,SWF-1316,349211.369268583,5019187.08442532,350370.871223657,5017808.40845983
SWF-1253,SWF-1316,349221.790069078,5017815.78826019,350370.871223657,5017808.40845983
SWF-1316,SWF-1316,350370.871223657,5017808.40845983,350370.871223657,5017808.40845983
SWF-1347,SWF-1316,351239.058964893,5016427.79519426,350370.871223657,5017808.40845983
SWF-1312,SWF-1321,349409.529477995,5013212.92964156,350832.02654556,5014254.41389103
SWF-1314,SWF-1321,350897.473348669,5014427.14439923,350832.02654556,5014254.41389103
SWF-1320,SWF-1321,350743.942441377,5015037.25262821,350832.02654556,5014254.41389103
SWF-1325,SWF-1321,351779.64759057,5015044.85782857,350832.02654556,5014254.41389103
SWF-1310,SWF-1322,348435.742331743,5014655.29181007,350428.733326405,5014679.35021121
SWF-1311,SWF-1322,348591.415239137,5014838.62241878,350428.733326405,5014679.35021121
SWF-1312,SWF-1322,349409.529477995,5013212.92964156,350428.733326405,5014679.35021121
SWF-1314,SWF-1322,350897.473348669,5014427.14439923,350428.733326405,5014679.35021121
SWF-1320,SWF-1322,350743.942441377,5015037.25262821,350428.733326405,5014679.35021121
SWF-1325,SWF-1322,351779.64759057,5015044.85782857,350428.733326405,5014679.35021121
SWF-1347,SWF-1322,351239.058964893,5016427.79519426,350428.733326405,5014679.35021121
SWF-1310,SWF-1323,348435.742331743,5014655.29181007,350263.198718542,5014236.9663902
TIM-2,SWF-1323,,,350263.198718542,5014236.9663902
SWF-1311,SWF-1323,348591.415239137,5014838.62241878,350263.198718542,5014236.9663902
SWF-1312,SWF-1323,349409.529477995,5013212.92964156,350263.198718542,5014236.9663902
SWF-1314,SWF-1323,350897.473348669,5014427.14439923,350263.198718542,5014236.9663902
SWF-1320,SWF-1323,350743.942441377,5015037.25262821,350263.198718542,5014236.9663902
SWF-1325,SWF-1323,351779.64759057,5015044.85782857,350263.198718542,5014236.9663902
SWF-1312,SWF-1324,349409.529477995,5013212.92964156,351131.644659791,5014062.1195819
SWF-1314,SWF-1324,350897.473348669,5014427.14439923,351131.644659791,5014062.1195819
SWF-1320,SWF-1324,350743.942441377,5015037.25262821,351131.644659791,5014062.1195819
SWF-1325,SWF-1324,351779.64759057,5015044.85782857,351131.644659791,5014062.1195819
SWF-1306,SWF-1325,352812.866039645,5016413.9862936,351779.64759057,5015044.85782857
SWF-1314,SWF-1325,350897.473348669,5014427.14439923,351779.64759057,5015044.85782857
SWF-1320,SWF-1325,350743.942441377,5015037.25262821,351779.64759057,5015044.85782857
SWF-1325,SWF-1325,351779.64759057,5015044.85782857,351779.64759057,5015044.85782857
SWF-1347,SWF-1325,351239.058964893,5016427.79519426,351779.64759057,5015044.85782857
SWF-1352,SWF-1325,353632.026778553,5015481.1864493,351779.64759057,5015044.85782857
SWF-1310,SWF-1326,348435.742331743,5014655.29181007,349068.608461803,5015608.74965536
TIM-2,SWF-1326,,,349068.608461803,5015608.74965536
SWF-1311,SWF-1326,348591.415239137,5014838.62241878,349068.608461803,5015608.74965536
SWF-1320,SWF-1326,350743.942441377,5015037.25262821,349068.608461803,5015608.74965536
SWF-1312,SWF-1336,349409.529477995,5013212.92964156,350011.711406597,5012639.31881432
SWF-1314,SWF-1336,350897.473348669,5014427.14439923,350011.711406597,5012639.31881432
SWF-1312,SWF-1337,349409.529477995,5013212.92964156,350188.903915013,5012449.4408053
SWF-1306,SWF-1347,352812.866039645,5016413.9862936,351239.058964893,5016427.79519426
SWF-1316,SWF-1347,350370.871223657,5017808.40845983,351239.058964893,5016427.79519426
SWF-1320,SWF-1347,350743.942441377,5015037.25262821,351239.058964893,5016427.79519426
SWF-1325,SWF-1347,351779.64759057,5015044.85782857,351239.058964893,5016427.79519426
SWF-1347,SWF-1347,351239.058964893,5016427.79519426,351239.058964893,5016427.79519426
SWF-1306,SWF-1351,352812.866039645,5016413.9862936,353157.004455991,5015010.78142695
SWF-1325,SWF-1351,351779.64759057,5015044.85782857,353157.004455991,5015010.78142695
SWF-1352,SWF-1351,353632.026778553,5015481.1864493,353157.004455991,5015010.78142695
SWF-1306,SWF-1352,352812.866039645,5016413.9862936,353632.026778553,5015481.1864493
SWF-1325,SWF-1352,351779.64759057,5015044.85782857,353632.026778553,5015481.1864493
SWF-1352,SWF-1352,353632.026778553,5015481.1864493,353632.026778553,5015481.1864493
SWF-1207,SWF-1366,349758.002494547,5019065.37041954,350771.031442663,5017571.25984857
SWF-1208,SWF-1366,349953.910503852,5018864.50641,350771.031442663,5017571.25984857
SWF-1253,SWF-1366,349221.790069078,5017815.78826019,350771.031442663,5017571.25984857
SWF-1316,SWF-1366,350370.871223657,5017808.40845983,350771.031442663,5017571.25984857
SWF-1347,SWF-1366,351239.058964893,5016427.79519426,350771.031442663,5017571.25984857
