"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",4.57994062359768,1.18529937673154,3.86395261273725,0.000347827408412929
"2","mean.threeh",-2.63724562190555,1.21007579139717,-2.17940532374468,0.0344587806233674
"3","sd.threeh",1.6279252758552,3.31086739504548,0.491691475862579,0.62527564066742
